BRouter 1.7.9 / 22042026
2026-05-02T17:48:12.157+02:00null ip=null ms=46 -> null
2026-05-02T17:48:40.720+02:00 new ip=/127.0.0.1 ms=504 -> GET /brouter?lonlats=4.4015,51.2164%7C5.5,50.97&profile=barge&alternativeidx=0&format=geojson HTTP/1.1
2026-05-02T18:33:15.148+02:00null ip=null ms=2 -> null
BRouter 1.7.9 / 22042026
2026-05-04T13:38:27.378+02:00null ip=null ms=29 -> null
2026-05-04T13:49:30.713+02:00null ip=null ms=20 -> null
2026-05-04T13:51:34.944+02:00null ip=null ms=2 -> null
2026-05-04T14:02:51.005+02:00null ip=null ms=19 -> null
2026-05-04T14:04:32.270+02:00null ip=null ms=1 -> null
2026-05-04T14:10:34.538+02:00null ip=null ms=16 -> null
2026-05-04T14:22:12.882+02:00null ip=null ms=17 -> null
2026-05-04T14:25:19.494+02:00null ip=null ms=6 -> null
2026-05-04T14:31:08.648+02:00null ip=null ms=28 -> null
2026-05-04T14:32:19.237+02:00null ip=null ms=17 -> null
2026-05-04T14:36:57.911+02:00null ip=null ms=30 -> null
2026-05-04T15:23:06.194+02:00null ip=null ms=19 -> null
2026-05-04T15:29:43.722+02:00null ip=null ms=30 -> null
2026-05-04T15:30:04.936+02:00null ip=null ms=9 -> null
2026-05-04T15:30:16.212+02:00null ip=null ms=6 -> null
2026-05-04T15:32:53.458+02:00null ip=null ms=144 -> null
2026-05-04T15:34:26.869+02:00null ip=null ms=73 -> null
2026-05-04T15:35:06.902+02:00null ip=null ms=25 -> null
2026-05-04T15:38:13.680+02:00null ip=null ms=58 -> null
2026-05-04T15:39:06.436+02:00null ip=null ms=31 -> null
2026-05-04T19:02:40.117+02:00null ip=null ms=13 -> null
2026-05-04T19:34:51.331+02:00null ip=null ms=17 -> null
2026-05-04T19:38:33.313+02:00null ip=null ms=15 -> null
2026-05-04T19:47:04.237+02:00null ip=null ms=20 -> null
2026-05-04T19:53:34.939+02:00null ip=null ms=18 -> null
2026-05-04T20:04:07.860+02:00null ip=null ms=19 -> null
2026-05-04T20:05:07.039+02:00null ip=null ms=3 -> null
